date,league,home,away,change,o_home,o_draw,o_away,scraped_at
2026-03-07,Championship,Blackburn,Portsmouth,0-2,11.37,5.87,1.12,2026-03-06T14:59:16Z
2026-03-07,Championship,Blackburn,Portsmouth,2-0,1.07,6.58,14.89,2026-03-06T14:59:16Z
2026-03-07,Championship,Blackburn,Portsmouth,3-0,1.01,8.44,25.25,2026-03-06T14:59:16Z
2026-03-07,Championship,Blackburn,Portsmouth,0-1,5.29,3.76,1.44,2026-03-07T08:48:40Z
2026-03-07,Championship,Blackburn,Portsmouth,1-0,1.37,3.94,6.02,2026-03-07T08:48:40Z
2026-03-07,Championship,Blackburn,Portsmouth,0-2,12.71,6.08,1.1,2026-03-07T08:48:40Z
2026-03-07,Championship,Blackburn,Portsmouth,2-0,1.08,6.42,14.53,2026-03-07T08:48:40Z
2026-03-07,Championship,Blackburn,Portsmouth,3-0,1.01,8.39,25.17,2026-03-07T08:48:40Z
2026-03-07,Championship,Charlton,Birmingham,0-1,7.19,4.5,1.27,2026-03-03T21:14:25Z
2026-03-07,Championship,Charlton,Birmingham,0-2,16.42,7.08,1.06,2026-03-03T21:14:25Z
2026-03-07,Championship,Charlton,Birmingham,1-0,1.63,3.63,3.82,2026-03-03T21:14:25Z
2026-03-07,Championship,Charlton,Birmingham,2-0,1.19,5.33,8.39,2026-03-03T21:14:25Z
2026-03-07,Championship,Charlton,Birmingham,3-0,1.04,7.88,16.73,2026-03-03T21:14:25Z
2026-03-07,Championship,Charlton,Birmingham,0-1,8.14,4.69,1.23,2026-03-07T08:48:40Z
2026-03-07,Championship,Charlton,Birmingham,1-0,1.7,3.54,3.56,2026-03-07T08:48:40Z
2026-03-07,Championship,Charlton,Birmingham,0-2,18.44,7.34,1.04,2026-03-07T08:48:40Z
2026-03-07,Championship,Charlton,Birmingham,2-0,1.21,5.12,7.73,2026-03-07T08:48:40Z
2026-03-07,Championship,Charlton,Birmingham,3-0,1.05,7.67,15.72,2026-03-07T08:48:40Z
2026-03-07,Championship,Charlton,Birmingham,1-0,1.7,3.58,3.53,2026-03-07T14:46:17Z
2026-03-07,Championship,Charlton,Birmingham,0-1,8.05,4.72,1.23,2026-03-07T14:46:17Z
2026-03-07,Championship,Charlton,Birmingham,0-2,18.05,7.33,1.04,2026-03-07T14:46:17Z
2026-03-07,Championship,Charlton,Birmingham,2-0,1.21,5.13,7.6,2026-03-07T14:46:17Z
